Provinsi,KabupatenKota,NamaWisata,Rating,Reviews,JenisWisata,Latitude,Longitude
Bali,Buleleng,Air Terjun Gitgit,4.4,725,Air,-8.2041317,115.1296887
Bali,Buleleng,Air Terjun Sekumpul,4.1,1013,Air,-8.1775094,115.1723042
Bali,Buleleng,Air Panas Banjar,4.3,3233,Air,-8.2105146,114.9567747
Bali,Buleleng,Pulau Menjangan,4.7,288,Air,-8.0982461,114.4738858
Bali,Buleleng,Pantai Pemuteran,4.3,278,Air,-8.1440046,114.6163505
Bali,Buleleng,Air Terjun Gitgit Twin,4.3,419,Air,-8.202166,115.1302086
Bali,Buleleng,Air Terjun Aling-Aling,4.6,2946,Air,-8.1751389,115.1027474
Bali,Buleleng,Pantai Banjar,4.1,53,Air,-8.1823733,114.9674751
Bali,Buleleng,Air Terjun Shantipala,4.3,59,Air,-8.3024785,114.993111
Bali,Buleleng,Pantai Celukan Bawang,4.1,39,Air,-8.1918241,114.8325921
Bali,Buleleng,Pura Beji,5,1,Religi,-8.195779,114.6517282
Bali,Buleleng,Air Terjun Les,4.7,67,Air,-8.1532931,115.350146
Bali,Buleleng,Pantai Penimbangan,4.4,1744,Air,-8.1233312,115.0634346
Bali,Buleleng,Pantai Lokapaksa,4.3,7,Air,-8.3765059,111.6798071
Bali,Buleleng,Danau Tamblingan,4.7,428,Air,-8.2572335,115.0761772
Bali,Buleleng,Air Terjun Umejero,4.8,67,Air,-8.2908285,115.0280701
Bali,Buleleng,Air Terjun Colek Pamor,4.5,235,Air,-8.1954486,115.1261292
Bali,Buleleng,Pantai Amed,4.5,1475,Air,-8.335352,115.6099233
Bali,Buleleng,Pantai Tanguwisia,4.3,193,Air,-8.1824748,114.9389544
Bali,Buleleng,Air Terjun Munduk,4.5,832,Air,-8.2516251,115.0669857
Bali,Buleleng,Pantai Kalianget,4.6,47,Air,-8.1822342,114.9148943
Bali,Buleleng,Pantai Lovina,4.4,1186,Air,-8.1655214,115.012517
Bali,Buleleng,Air Terjun Yeh Mampeh,4.7,360,Air,-8.1532932,115.3604458
Bali,Buleleng,Pura Labuan Aji,4.6,52,Religi,-8.428156,113.15794
Bali,Buleleng,Air Terjun Banyumala,4.8,3982,Air,-8.3660106,115.0333491
Bali,Buleleng,Air Terjun Campuhan,4.3,419,Air,-8.2536751,115.0065947
Bali,Buleleng,Pantai Gerokgak,4.6,5,Air,-8.1761909,114.7742614
Bali,Buleleng,Air Terjun Melanting,4.7,404,Air,-8.2861535,114.981595
Bali,Buleleng,Air Terjun Jembong,4.5,776,Air,-8.2214061,115.0330004
Bali,Buleleng,Air Terjun Banyu Wana,4.8,973,Air,-8.2214061,115.0330004
Bali,Buleleng,Pantai Banyuning,4.8,26,Air,-8.0957311,115.0589864
Bali,Buleleng,Pantai Kerobokan,4.3,984,Air,-8.0957311,115.0589864
Bali,Buleleng,Air Terjun Tembok Barak,4.5,194,Air,-8.1474046,115.0729257
Bali,Buleleng,Pura Maduwe Karang,4.6,240,Religi,-8.0778479,115.1656968
Bali,Buleleng,Pantai Giri Emas,4.5,42,Air,-8.0764197,115.1339182
Bali,Buleleng,Pura Pulaki,4.7,1481,Religi,-8.1456367,114.6803377
